,Actual RMSF,DeepFlex,ESM-Only,VoxelFlex-3D,RF (All Features),RF (No ESM)
Actual RMSF,1.0,0.2589996038241448,0.18856395849986435,0.39765792421201906,0.2540063944077173,0.3530179641139993
DeepFlex,0.2589996038241448,1.0,0.2976443850066372,0.348570854929189,0.45658859843477073,0.3539018559722013
ESM-Only,0.18856395849986435,0.2976443850066372,1.0,0.35926914200054894,0.7377191358761115,0.3886124279833218
VoxelFlex-3D,0.39765792421201906,0.348570854929189,0.35926914200054894,1.0,0.48159353385107334,0.6906261297204762
RF (All Features),0.2540063944077173,0.45658859843477073,0.7377191358761115,0.48159353385107334,1.0,0.5236976683129826
RF (No ESM),0.3530179641139993,0.3539018559722013,0.3886124279833218,0.6906261297204762,0.5236976683129826,1.0
